,认定点代码,题型代码,题号,试题（题干）,试题（选项A）,试题（选项B）,试题（选项C）,试题（选项D）,试题（选项E）,【图】及位置,正确答案,难度代码,一致性代码,解析,,,,,,,,
卷八b7,B-A-A-001,B（单选题）,,在选择无人机活塞发动机时，（）不是选型时需要考虑的。,发动机的功率与重量比,发动机的冷却方式,发动机的燃料类型,发动机的品牌知名度,,,D,3（中）,5（好）,,,,,,,,,
卷七d3,B-A-A-001,G（多选题）,,活塞发动机选型时，（ ）设计参数会影响发动机的性能的是。,点火提前角,压缩比,气缸直径,活塞行程,燃油喷射系统,,ABCDE,3（中）,5（好）,,,,,,,,,
卷二b7,B-A-A-002,B（单选题）,,在燃气涡轮发动机选型中，（）因素不是最重要的。,性能要求,维护费用,飞行高度,价格,,,D,3（中）,5（好）,,,,,,,,,
卷九b7,B-A-A-002,B（单选题）,,在选择燃气涡轮发动机时，在选型过程中的重要性相对较低的参数是（）。,发动机的推力与重量比,发动机的耗油率,发动机的可靠性与维护性,发动机制造商的广告宣传力度,,,D,3（中）,5（好）,,,,,,,,,
卷一d3,B-A-A-002,G（多选题）,,在选择无人机燃气涡轮发动机时，（）因素是需要重点考虑的。,发动机的重量与功率比,燃油效率与续航能力,发动机的可靠性与维护性,飞行高度与速度要求,成本与预算限制,,ABCDE,3（中）,5（好）,,,,,,,,,
卷八d3,B-A-A-002,G（多选题）,,在选择适合无人机应用的燃气涡轮发动机时，（）环境因素需要被纳入考量。,飞行环境的温度与气压,湿度与降水情况,盐雾与沙尘等腐蚀性环境,电磁干扰与辐射环境,飞行区域的地理特征与障碍物情况,,ABC,3（中）,5（好）,,,,,,,,,
卷三b7,B-A-A-003,B（单选题）,,在选择直升机自动倾斜器（十字盘）时，（）不是选型过程中主要考虑的技术指标。,倾斜器的材料强度和耐久性,倾斜器的运动范围和响应速度,倾斜器的制造难度和成本,倾斜器的外观设计和颜色搭配,,,D,3（中）,5（好）,,,,,,,,,
卷十b7,B-A-A-003,B（单选题）,,关于直升机自动倾斜器（十字盘）的选型，说法错误的是（）。,根据直升机的用途和性能要求确定倾斜器的类型和规格,倾斜器的结构设计和材料选择应考虑到重量和强度要求,倾斜器的响应速度越快，直升机的操纵稳定性就越好,倾斜器的选型只与直升机的飞行控制系统有关，与其他系统无关,,,D,3（中）,5（好）,,,,,,,,,
卷二d3,B-A-A-003,G（多选题）,,无人直升机自动倾斜器（十字盘）的选型过程中，（）性能指标对飞行性能有直接影响。,倾斜角度范围与精度，影响无人直升机的俯仰和滚转控制,十字盘的刚度与稳定性，防止在高速飞行或强风条件下产生过大振动,十字盘的重量与转动惯量，影响无人直升机的加速性能和能耗,十字盘的润滑与冷却系统，确保长时间运行的可靠性和耐久性,十字盘的控制逻辑与算法，实现精准、快速的飞行姿态调整,,ABCD,3（中）,5（好）,,,,,,,,,
卷九d3,B-A-A-003,G（多选题）,,无人直升机自动倾斜器（十字盘）的选型还需考虑其与其他系统的集成性，()是需要特别关注的。,飞行控制系统,动力系统（发动机与传动装置）,旋翼系统（包括桨叶与桨毂）,导航系统,通信系统,,ABC,3（中）,5（好）,,,,,,,,,
卷四b7,B-A-A-004,B（单选题）,,在齿轮传动中，选择齿数的方法是（）。,根据载荷情况选择,根据转速选择,根据中心距选择,根据齿面接触强度选择,,,C,3（中）,5（好）,,,,,,,,,
卷三d3,B-A-A-004,B（单选题）,,在选择无人直升机齿轮时，（）因素是需要重点考虑的。,齿轮的材质与强度,齿轮的传动效率与功率损失,齿轮的尺寸、重量与空间适应性,齿轮的润滑与冷却方式, 齿轮的噪声与振动特性 ,,ABCDE,3（中）,5（好）,,,,,,,,,
卷十d3,B-A-A-004,G（多选题）,,在选择无人直升机齿轮时，（）因素是需要重点考虑的。,齿轮的材质与强度,齿轮的传动效率与功率损失,齿轮的尺寸、重量与空间适应性,齿轮的润滑与冷却方式, 齿轮的噪声与振动特性 ,,ABCDE,3（中）,5（好）,,,,,,,,,
卷五b7,B-A-A-005,B（单选题）,,在皮带传动系统中，若需要皮带具有高度的耐磨性、较小的伸长率和良好的柔韧性，选型时应当重点考虑的因素是（）。,皮带的厚度,皮带的颜色,皮带的材料,皮带的齿形,,,C,3（中）,5（好）,,,,,,,,,
卷四d3,B-A-A-005,G（多选题）,, 在选择无人直升机皮带时，（）因素是需要重点考虑的。,皮带的材质与耐久性 ,皮带的传动效率与功率损失,皮带的长度、宽度与厚度,皮带的张紧与调整方式,皮带的耐高温与耐腐蚀性,,ABCDE,3（中）,5（好）,,,,,,,,,
卷六b7,B-A-A-006,B（单选题）,,在进行主旋翼选型时，（ ）因素对旋翼的升力影响最大的是。,旋翼的直径,旋翼的升力系数,旋翼的材料,旋翼的桨叶数量,,,B,3（中）,5（好）,,,,,,,,,
卷五d3,B-A-A-006,G（多选题）,,在选择无人直升机主旋翼时，（）是需要重点考虑的。,旋翼的材质与重量,旋翼的气动性能与升力效率,旋翼的刚度与强度,旋翼的桨叶数量与布局,旋翼的维护与更换便捷性,,ABCDE,3（中）,5（好）,,,,,,,,,
卷七b7,B-A-A-007,B（单选题）,,在尾旋翼选型中，（ ）尾翼类型在俯视和侧视方向都有一定的投影面积，能同时起纵向（俯仰）和航向稳定作用的是。,V型尾翼,T型尾翼,H型尾翼,十字型尾翼,,,A,3（中）,5（好）,,,,,,,,,
卷六d3,B-A-A-007,G（多选题）,,在尾旋翼选型中，（ ）设计参数会影响尾旋翼的效率的是。,尾旋翼的桨叶弦长,尾旋翼的桨叶后掠角,尾旋翼的桨叶展弦比,尾旋翼的桨叶根梢比,尾旋翼的桨叶扭转角,,ABCDE,3（中）,5（好）,,,,,,,,,
卷一b8,B-A-B-001,B（单选题）,,在尾旋翼选型中，（）可以有效减少旋翼间的气动干扰，从而降低直升机的振动和噪声。,增加尾旋翼的直径,增加尾旋翼的直径,增加尾旋翼的桨叶数量,采用更大的尾翼,,,B,3（中）,5（好）,,,,,,,,,
卷七b8,B-A-B-001,B（单选题）,,在尾旋翼选型中，（）可以有效提升尾旋翼在瞬态飞行环境下的计算稳定性和效率。,增加尾旋翼的功率,采用涡黏性修正方法,增加尾旋翼的材料强度,采用更大的尾翼,,,B,3（中）,5（好）,,,,,,,,,
卷六d4,B-A-B-001,G（多选题）,,在尾旋翼选型中，（）设计可以有效提升尾旋翼在稳定悬停状态下的气动表现。,增加尾旋翼的直径,采用交叉双旋翼设计,采用涡黏性修正方法,采用桨根环量抑制技术,采用远尾迹桨尖脱落涡合并方法,,BCDE,3（中）,5（好）,,,,,,,,,
卷二b8,B-A-B-002,B（单选题）,,在垂直起降固定翼无人机起飞着陆系统中，不是必需的传感器是（）。,惯性导航系统,雷达高度计,陀螺仪,GPS,,,D,3（中）,5（好）,,,,,,,,,
卷八b8,B-A-B-002,B（单选题）,,在选择垂直起降固定翼无人机的起飞着陆系统时，应作为首要考虑的因素是（）。,系统的复杂性与维护成本,无人机载重与飞行性能需求,起飞和着陆场地的条件限制,系统的重量与能量消耗效率,,,D,3（中）,5（好）,,,,,,,,,
卷一d4,B-A-B-002,G（多选题）,,垂直起降固定翼无人机起飞着陆系统的设计应满足（）基本要求。,能够实现垂直起降,具有较高的气动效率,具备良好的操控性,能够适应不同的起飞着陆场地,具有故障检测和处理能力,,ABCDE,3（中）,5（好）,,,,,,,,,
卷七d4,B-A-B-002,G（多选题）,,在选择垂直起降固定翼无人机起飞着陆系统时，（）性能指标是重要的。,过渡态持续时间 ,着陆精度,固定翼模式最小飞行速度,维护和运行成本,垂起模式续航时间,,ABCDE,3（中）,5（好）,,,,,,,,,
卷三b8,B-A-B-003,B（单选题）,,气垫着陆系统的主要优点之一是能够在多种地形上着陆，包括水面。这一系统的附加重量减轻是因为它能够将载运重量分布在机身下表面的宽大区域上。（）描述了气垫着陆系统的这一优点。,只能在平整地面上着陆,附加重量减轻，具有两栖能力,不能在水面上着陆,需要大型的起落架,,,B,3（中）,5（好）,,,,,,,,,
卷九b8,B-A-B-003,B（单选题）,,气垫着陆系统在水面工作时，可以在两翼下柱支上装上平衡浮筒。（）是气垫着陆系统在水面工作时的辅助设备。,平衡浮筒,降落伞,滑撬,轮胎,,,A,3（中）,5（好）,,,,,,,,,
卷二d4,B-A-B-003,G（多选题）,,气垫着陆系统缓冲过程中的关键物理原理包括（）。  ,气体的压缩与膨胀,气垫材料的弹性变形,动能与势能的转换,气体流动产生的阻力,热力学效应（如气体加热）,,ABCD,3（中）,5（好）,,,,,,,,,
卷八d4,B-A-B-003,G（多选题）,,气垫着陆系统在着陆时，通过控制实现平稳着陆的功能是（）。,调节气垫内的气体压力 ,调整气垫的表面积或形状,控制着陆速度与方向,利用着陆传感器实时反馈调整,通过外部机械装置辅助缓冲,,ABCD,3（中）,5（好）,,,,,,,,,
卷四b8,B-A-B-004,B（单选题）,,在气垫着陆系统的配型中，（）设计可以有效减少气垫在着陆时的冲击力。,增加气垫的厚度,减小气垫的厚度,增加气垫的硬度,减小气垫的硬度,,,D,3（中）,5（好）,,,,,,,,,
卷十b8,B-A-B-004,B（单选题）,,在选择气垫着陆系统时，对于确保无人机着陆安全性最为关键的因素是（）。,气垫的大小与形状，以适应不同着陆场地,气垫材料的耐磨性和抗老化性能,气垫充气速度与压力控制的精确性,气垫系统的重量与无人机整体重量的比例,,,C,3（中）,5（好）,,,,,,,,,
卷三d4,B-A-B-004,G（多选题）,,在选择气垫着陆系统时，（）因素是需要重点考虑的。,着陆表面的类型与条件,无人机的重量与尺寸,着陆过程中的冲击力与缓冲要求,系统的重量与功率消耗,维护与更换气垫的便捷性,,ABCDE,3（中）,5（好）,,,,,,,,,
卷九d4,B-A-B-004,G（多选题）,,在选择适合无人机应用的气垫着陆系统时，（）环境因素需要被纳入考量。,飞行区域的温度与湿度,着陆表面的硬度与粗糙度,风速与风向对着陆的影响,电磁干扰与通信条件,着陆区域的地形与障碍物情况,,ABCE,3（中）,5（好）,,,,,,,,,
卷五b8,B-A-B-005,B（单选题）,,阻拦网回收系统在无人机回收过程中，其主要作用是（）。,通过弹性网的张力捕获无人机，实现软着陆,利用高速旋转的刀片切割无人机，使其减速,通过气流喷射产生反向推力，降低无人机速度,使用强力磁铁吸附无人机，实现快速回收,,,A,3（中）,5（好）,,,,,,,,,
卷四d4,B-A-B-005,G（多选题）,,阻拦网回收系统在工作时，主要依赖（）组件实现其功能。,阻拦网本身,能量吸收装置（如缓冲弹簧或液压阻尼器）,牵引与释放机构,控制系统与传感器,无人机挂载装置,,ABCD,3（中）,5（好）,,,,,,,,,
卷十d4,B-A-B-005,G（多选题）,,阻拦网回收系统在捕捉无人机时，为了有效地吸收和分散撞击能量，应该（）。,利用阻拦网的弹性变形,通过能量吸收装置将动能转换为热能或其他形式,增加阻拦网的面积以分散冲击力,调整阻拦网的张紧度以优化能量吸收,利用无人机自身的减速机制,,ABCD,3（中）,5（好）,,,,,,,,,
卷六b8,B-A-B-006,B（单选题）,,在阻拦网回收系统中，（）阶段主要由阻拦网提供阻尼力。,阶段一,阶段二,阶段三,阶段四,,,A,3（中）,5（好）,,,,,,,,,
卷五d4,B-A-B-006,G（多选题）,,在选择阻拦网回收系统时，（）因素是需要重点考虑的。,无人机的类型、重量与尺寸,回收区域的大小与形状 ,阻拦网的材料、强度与耐久性,能量吸收装置的类型与性能,操作人员的技能水平与培训需求,,ABCD,3（中）,5（好）,,,,,,,,,
卷一b9,B-A-C-001,B（单选题）,,在航测遥感系统中，（）平台通常用于获取大范围、长期、连续的监测数据。,地球同步轨道卫星,极地轨道卫星,航空遥感飞机,人造卫星,,,B,3（中）,5（好）,,,,,,,,,
卷九b9,B-A-C-001,B（单选题）,,航测遥感系统中，（）波段不属于大气窗口的5个主要谱段。,0.3-1.3μm 的紫外、可见光、近红外波段,1.5-2.4μm 的近红外波段,20-100μm 的远红外波段,8-14μm 的远红外波段,,,C,3（中）,5（好）,,,,,,,,,
卷八c6,B-A-C-001,C（判断题）,,摄影测量的航线弯曲度大，则其像片旋角一定大。（）,对,错,,,,,B,3（中）,5（好）,,,,,,,,,
卷七d5,B-A-C-001,G（多选题）,,遥感数据的预处理通常包括（）步骤。,辐射校正,几何校正,光谱增强,数据压缩,图像配准,,ABC,3（中）,5（好）,,,,,,,,,
卷二b9,B-A-C-002,B（单选题）,,在植保喷洒系统的选型过程中，对确保作业效率和喷洒均匀性最为关键的因素是（）。,喷洒喷嘴的类型和布局设计,飞行平台的载重能力和续航能力,喷洒系统的流量控制精度和稳定性,喷洒喷嘴的类型和布局设计,,,A,3（中）,5（好）,,,,,,,,,
卷十b9,B-A-C-002,B（单选题）,,在选择植保喷洒系统时，能够最大限度地减少药液漂移和浪费，同时保护操作人员安全的方法是（）。,选用具有精准风向和风速感知能力的系统,注重系统的密封性和防漏设计,优先选择具有低飘移和低蒸发特性的喷嘴,强调系统对不同种类作物的适应性,,,C,3（中）,5（好）,,,,,,,,,
卷一c6,B-A-C-002,C（判断题）,,植保无人机选择喷洒系统时，喷洒系统容量越大越好。（）,正确,错误,,,,,B,3（中）,5（好）,,,,,,,,,
卷九c6,B-A-C-002,C（判断题）,,为了获得更高的单次作业亩数，所以植保喷洒系统的喷幅越大越好。（） ,正确,错误,,,,,B,3（中）,5（好）,,,,,,,,,
卷八d5,B-A-C-002,G（多选题）,,在植保喷洒系统的配型中，以下哪些因素是需要考虑的关键因素？（ ）,喷洒系统的流量,喷头的类型,药箱的容量,无人机的飞行速度,无人机的飞行高度,,ABCDE,3（中）,5（好）,,,,,,,,,
卷三b9,B-A-C-003,B（单选题）,,在评估机载激光雷达系统时，（）能够最大限度地提高系统在不同地形和气候条件下的适应性。,激光雷达的多波束扫描能力,系统的高动态范围和低噪声性能,飞行平台的多样性和灵活性,强大的抗干扰和自动校准功能,,,D,3（中）,5（好）,,,,,,,,,
卷二c6,B-A-C-003,C（判断题）,,机载激光雷达系统是完整且独立的机载设备，所以软件平台只需要具备基本的数据处理功能，无需考虑与其他地理信息系统的兼容性。 （）,正确,错误,,,,,B,3（中）,5（好）,,,,,,,,,
卷十c6,B-A-C-003,C（判断题）,,机载激光雷达系统的选型取决于飞行平台的类型，同时需要考不同应用场景的实际精度需求。（） ,正确,错误,,,,,A,3（中）,5（好）,,,,,,,,,
