题目ID,题目陈述,题目类型,内容分类,难度等级,分值,是否启用,选项A,选项B,选项C,选项D,选项E,选项F,正确答案,题目解析,出题人,创建时间,最后修改时间
05282,在对码过程中，如果遥控器显示“信号弱”，下列正确做法是（）。,单选题,飞行原理,中等,2,是,调整无人机的飞行姿态,更换遥控器电池,确保无人机和遥控器之间没有障碍物，并尽量靠近,升级无人机的操作系统,,,确保无人机和遥控器之间没有障碍物，并尽量靠近,,超级管理员,2025-09-18 15:55:32,2025-09-18 15:55:55
05283,无人机遥控器与无人机之间的对码是通过蓝牙技术实现的。（）,单选题,飞行原理,中等,2,是,正确,错误,,,,,错误,,超级管理员,2025-09-18 15:55:32,2025-09-18 15:55:55
05284,对码过程中，遥控器和无人机必须处于相同的电源状态（如都开启或都关闭）。（）,单选题,飞行原理,中等,2,是,正确,错误,,,,,错误,,超级管理员,2025-09-18 15:55:32,2025-09-18 15:55:55
05285,在检查无人机接收机天线时，不是必要的检查内容的是（）。,单选题,飞行原理,中等,2,是,天线是否有物理损伤,天线是否正确安装,天线是否需要清洁,天线的生产日期,,,天线的生产日期,,超级管理员,2025-09-18 15:55:32,2025-09-18 15:55:55
05286,如果发现无人机接收机天线有损坏，（）是正确的处理方法。,单选题,飞行原理,中等,2,是,用胶带临时固定,继续使用，不予处理,立即更换天线,使用重型胶水修复,,,立即更换天线,,超级管理员,2025-09-18 15:55:32,2025-09-18 15:55:55
05287,在进行无人机接收机天线检查时，发现天线松动，正确的操作是（）。,单选题,飞行原理,中等,2,是,忽略它，继续飞行,使用胶带临时固定,拧紧固定螺丝，确保天线牢固,用绳子将天线绑在无人机上,,,拧紧固定螺丝，确保天线牢固,,超级管理员,2025-09-18 15:55:32,2025-09-18 15:55:55
05288,若怀疑无人机接收机天线内部有进水情况，应该（）。,单选题,飞行原理,中等,2,是,先将天线放置在干燥环境中自然干燥，再检查性能,拆开天线，用吹风机热风档吹干,立即通电烘干,往天线里注入干燥剂,,,先将天线放置在干燥环境中自然干燥，再检查性能,,超级管理员,2025-09-18 15:55:32,2025-09-18 15:55:55
05289,接收机天线的检查方法中，首先需要检查天线的物理外观，确认无损坏。（）,单选题,飞行原理,中等,2,是,正确,错误,,,,,正确,,超级管理员,2025-09-18 15:55:32,2025-09-18 15:55:55
05290,在检查接收机天线时，可以不考虑天线的安装角度，因为它不会影响信号接收。（）,单选题,飞行原理,中等,2,是,正确,错误,,,,,错误,,超级管理员,2025-09-18 15:55:32,2025-09-18 15:55:55
05291,在无人机螺旋桨的机械测试报告单中，（）参数是必须记录的。,单选题,飞行原理,中等,2,是,螺旋桨的颜色,螺旋桨的重量,螺旋桨的材料,螺旋桨的直径,,,螺旋桨的直径,,超级管理员,2025-09-18 15:55:32,2025-09-18 15:55:55
05292,下列（）不是在无人机螺旋桨的机械测试中可能使用的。,单选题,飞行原理,中等,2,是,力传感器,温度计,压力计,高速摄影机,,,压力计,,超级管理员,2025-09-18 15:55:32,2025-09-18 15:55:55
05293,在填写无人机螺旋桨的机械测试报告单时，（）是用来衡量螺旋桨在单位时间内完成工作的能力的。,单选题,飞行原理,中等,2,是,螺旋桨的最大直径,螺旋桨的转速,螺旋桨产生的推力,螺旋桨的功率输出,,,螺旋桨的功率输出,,超级管理员,2025-09-18 15:55:32,2025-09-18 15:55:55
05294,在进行无人机螺旋桨的机械测试时，如果发现螺旋桨有异常噪音，应（）。,单选题,飞行原理,中等,2,是,忽略不计,记录噪音大小和频率,仅描述噪音类型,只记录测试日期和时间,,,记录噪音大小和频率,,超级管理员,2025-09-18 15:55:32,2025-09-18 15:55:55
05295,螺旋桨的机械测试报告单中不需要记录螺旋桨的材质类型。（）,单选题,飞行原理,中等,2,是,正确,错误,,,,,错误,,超级管理员,2025-09-18 15:55:32,2025-09-18 15:55:55
05296,测试报告单应包括螺旋桨在不同速度下的表现。（）,单选题,飞行原理,中等,2,是,正确,错误,,,,,正确,,超级管理员,2025-09-18 15:55:32,2025-09-18 15:55:55
05297,下列（）可以用来测量无人机电调的电压。,单选题,飞行原理,中等,2,是,万用表,示波器,频谱分析仪,功率计,,,万用表,,超级管理员,2025-09-18 15:55:32,2025-09-18 15:55:55
05298,在填写无人机电调的电气测试报告单时，在下列（）不是必须记录的信息。,单选题,飞行原理,中等,2,是,电调的最大电流输出,电调与电机匹配的KV值范围,测试环境温度和湿度,飞行器的最大飞行高度,,,飞行器的最大飞行高度,,超级管理员,2025-09-18 15:55:32,2025-09-18 15:55:55
05299,无人机电调的电气测试中，用于评估电调在极端条件下的工作性能的测试是（）。,单选题,飞行原理,中等,2,是,稳态测试,动态响应测试,温度测试,电磁兼容性测试,,,温度测试,,超级管理员,2025-09-18 15:55:32,2025-09-18 15:55:55
05300,在进行电调电气测试并填写报告单时，如果遇到异常高温现象，最合理的应对措施是（）。,单选题,飞行原理,中等,2,是,忽略高温继续测试以获取完整数据,立即停止测试，并检查可能的原因,增加冷却风扇的数量来降低温度,减少电调设置的电流限制以避免过热,,,立即停止测试，并检查可能的原因,,超级管理员,2025-09-18 15:55:32,2025-09-18 15:55:55
05301,在进行无人机电调电气测试时，可以直接使用交流电流。（）,单选题,飞行原理,中等,2,是,正确,错误,,,,,错误,,超级管理员,2025-09-18 15:55:32,2025-09-18 15:55:55
05302,测试报告单应详细记录测试条件和测试设备的设置。（）,单选题,飞行原理,中等,2,是,正确,错误,,,,,正确,,超级管理员,2025-09-18 15:55:32,2025-09-18 15:55:55
05303,日常维保作业场地应该保持清洁，（）不应该出现在工作区域内。,单选题,飞行原理,中等,2,是,工具箱,垃圾桶,工作服,食品包装袋,,,食品包装袋,,超级管理员,2025-09-18 15:55:32,2025-09-18 15:55:55
05304,在日常维保作业场地布置中，工具和设备的存放应遵循（）原则。,单选题,飞行原理,中等,2,是,随意放置，方便取用,分类存放，标识清晰,集中堆放，节省空间,地面放置，避免高处坠落,,,分类存放，标识清晰,,超级管理员,2025-09-18 15:55:32,2025-09-18 15:55:55
05305,为了提高日常维保作业场地的作业效率，应（）规划作业区域。,单选题,飞行原理,中等,2,是,按作业流程划分区域,按设备类型划分区域,按作业人员分组划分区域,任意划分区域，灵活应变,,,按作业流程划分区域,,超级管理员,2025-09-18 15:55:32,2025-09-18 15:55:55
05306,日常维保作业场地布置时，应首先考虑的是（）。,单选题,飞行原理,中等,2,是,作业效率,安全原则,设备存放,照明条件,,,安全原则,,超级管理员,2025-09-18 15:55:32,2025-09-18 15:55:55
05307,在日常维保作业场地中，必须保证所有工作人员都佩戴安全帽。（）,单选题,飞行原理,中等,2,是,正确,错误,,,,,正确,,超级管理员,2025-09-18 15:55:32,2025-09-18 15:55:55
05308,在布置日常维保作业场地时，应考虑到维修工具和设备的存放位置，以减少维修人员的移动距离和时间。（）,单选题,飞行原理,中等,2,是,正确,错误,,,,,正确,,超级管理员,2025-09-18 15:55:32,2025-09-18 15:55:55
05309,（）不属于日常维保作业场地的安全要求。,单选题,飞行原理,困难,2,是,场地整洁，无杂物堆积,使用合适的防护设备，如安全帽、防护眼镜等,避免在高温或低温环境下进行作业,进行高强度作业时不需要休息,,,场地整洁，无杂物堆积,,超级管理员,2025-09-18 15:55:32,2025-09-18 15:55:55
05310,无人机日常维保作业中，为防止工具或零件掉落伤人，应采取（）。,单选题,飞行原理,中等,2,是,在作业区域内大声交谈，提醒他人,在工作台周围堆放杂物,使用工具袋或工具箱，并确保工具在使用后及时归位,穿着宽松衣物以方便携带工具,,,使用工具袋或工具箱，并确保工具在使用后及时归位,,超级管理员,2025-09-18 15:55:32,2025-09-18 15:55:55
05311,无人机日常维保作业场地的照明应满足（），以确保作业安全。,单选题,飞行原理,中等,2,是,仅在夜间提供最低限度的照明,使用单一光源，避免阴影,使用足够亮度的照明，确保作业区域无暗角,使用彩色灯光增加作业趣味性,,,使用足够亮度的照明，确保作业区域无暗角,,超级管理员,2025-09-18 15:55:32,2025-09-18 15:55:56
05312,无人机日常维保作业中，为防止电池意外放电，应（）存放电池。,单选题,飞行原理,中等,2,是,将电池存放在阳光直射的地方,将电池随意放在工作台上,将电池存放在干燥、阴凉且通风良好的环境中,将电池放在密闭容器内,,,将电池存放在干燥、阴凉且通风良好的环境中,,超级管理员,2025-09-18 15:55:32,2025-09-18 15:55:56
05313,在日常维保作业场地上，必须设置足够的照明设备。（）,单选题,飞行原理,中等,2,是,正确,错误,,,,,正确,,超级管理员,2025-09-18 15:55:32,2025-09-18 15:55:56
05314,维保场地周围应有明显的安全警示标志。（）,单选题,飞行原理,中等,2,是,正确,错误,,,,,正确,,超级管理员,2025-09-18 15:55:32,2025-09-18 15:55:56
05315,电池保养的方法是（）。,单选题,飞行原理,中等,2,是,经常充放电至电池电量耗尽,避免长时间放置未使用,使用不合格的充电器进行充电,在高温环境下存放电池,,,避免长时间放置未使用,,超级管理员,2025-09-18 15:55:32,2025-09-18 15:55:56
05316,锂离子电池在充电过程中，最容易发生热失控的阶段是（）。,单选题,飞行原理,困难,2,是,充电初期,充电中期,充电后期,放电过程,,,充电初期,,超级管理员,2025-09-18 15:55:32,2025-09-18 15:55:56
05317,无人机电池在日常使用中，（）行为可能会缩短电池寿命。,单选题,飞行原理,中等,2,是,经常在极端温度下飞行,避免深度放电和过度充电,在飞行结束后立即将电池从无人机上取下,在飞行中频繁改变电池的输出功率,,,经常在极端温度下飞行,,超级管理员,2025-09-18 15:55:32,2025-09-18 15:55:56
05318,无人机电池长时间未使用时，应该（）储存以维持电池性能。,单选题,飞行原理,中等,2,是,储存于高温环境下,储存于低温环境下,充满电后储存,放电至50%电量后储存,,,放电至50%电量后储存,,超级管理员,2025-09-18 15:55:32,2025-09-18 15:55:56
05319,电池应定期充放电以保持其最佳状态。（）,单选题,飞行原理,中等,2,是,正确,错误,,,,,正确,,超级管理员,2025-09-18 15:55:32,2025-09-18 15:55:56
05320,电池应暴露在极端温度环境中存储。（）,单选题,飞行原理,中等,2,是,正确,错误,,,,,错误,,超级管理员,2025-09-18 15:55:32,2025-09-18 15:55:56
05321,活塞发动机在日常维保中，检查火花塞的主要目的是（ ）,单选题,飞行原理,中等,2,是,查看火花塞的外观是否美观,验证火花塞的颜色是否与发动机机身颜色匹配,检查火花塞的重量是否达标,确定火花塞的电极间隙是否符合规定,,,确定火花塞的电极间隙是否符合规定,,超级管理员,2025-09-18 15:55:32,2025-09-18 15:55:56
05322,对无人机活塞发动机进行日常维保，清洁空气滤清器时，正确的方法是（ ）。,单选题,飞行原理,中等,2,是,用压缩空气从里向外吹净,使用刷子大力刷洗,用高压水枪直接冲洗,浸泡在汽油中清洗,,,用压缩空气从里向外吹净,,超级管理员,2025-09-18 15:55:32,2025-09-18 15:55:56
05323,在无人机活塞发动机的日常维保中，检查机油油位时，应在发动机（ ）状态下进行。,单选题,飞行原理,中等,2,是,冷机,停机后等待一段时间,运行过程中,启动后立即检查,,,停机后等待一段时间,,超级管理员,2025-09-18 15:55:32,2025-09-18 15:55:56
05324,活塞发动机日常维保中，紧固发动机各部位螺栓的扭矩应（ ）。,单选题,飞行原理,中等,2,是,按照发动机制造商规定的扭矩值进行紧固,凭经验随意紧固,尽量拧得越紧越好,比规定扭矩值稍大一些进行紧固,,,按照发动机制造商规定的扭矩值进行紧固,,超级管理员,2025-09-18 15:55:32,2025-09-18 15:55:56
05325,无人机活塞发动机的空气滤清器在日常维保中可以随意拆卸和安装，不会对发动机性能产生影响。（）,单选题,飞行原理,中等,2,是,正确,错误,,,,,错误,,超级管理员,2025-09-18 15:55:32,2025-09-18 15:55:56
05326,对无人机活塞发动机进行日常维保时，拧紧发动机各部位的螺栓螺母时，越紧越好，这样可以确保发动机部件的牢固连接。（）,单选题,飞行原理,中等,2,是,正确,错误,,,,,错误,,超级管理员,2025-09-18 15:55:32,2025-09-18 15:55:56
05327,在对无人机燃气涡轮发动机进行日常维保时，检查发动机进气道的主要目的是（ ）,单选题,飞行原理,中等,2,是,查看进气道是否有划痕影响美观,确保进气道无异物堵塞，保证进气顺畅,测量进气道的直径是否符合标准,检查进气道的颜色是否正常,,,确保进气道无异物堵塞，保证进气顺畅,,超级管理员,2025-09-18 15:55:32,2025-09-18 15:55:56
05328,燃气涡轮发动机日常维保中，检查燃油喷嘴的重点是（ ）。,单选题,飞行原理,中等,2,是,燃油喷嘴的外观是否有磨损,燃油喷嘴的安装位置是否正确,燃油喷嘴的喷雾形状和雾化质量,?燃油喷嘴的重量是否均匀,,,燃油喷嘴的喷雾形状和雾化质量,,超级管理员,2025-09-18 15:55:32,2025-09-18 15:55:56
05329,无人机燃气涡轮发动机的滑油系统在日常维保中，需要检查滑油的（ ）。,单选题,飞行原理,中等,2,是,颜色、重量和温度,颜色、气味和液位,粘度、密度和酸碱度,闪点、燃点和凝点,,,颜色、气味和液位,,超级管理员,2025-09-18 15:55:32,2025-09-18 15:55:56
05330,对无人机燃气涡轮发动机进行日常维保时，关于发动机叶片的检查，说法正确的是（ ）。,单选题,飞行原理,中等,2,是,只需查看叶片表面是否有明显损伤,要检查叶片的表面损伤、变形以及是否有腐蚀迹象,重点检查叶片根部是否松动，无需关注叶片表面,叶片检查可每隔几个月进行一次，无需每次维保都检查,,,要检查叶片的表面损伤、变形以及是否有腐蚀迹象,,超级管理员,2025-09-18 15:55:32,2025-09-18 15:55:56
05331,在无人机燃气涡轮发动机日常维保中，定期检查发动机的外部管路连接是否松动是必要的维护措施之一。（）,单选题,飞行原理,中等,2,是,正确,错误,,,,,正确,,超级管理员,2025-09-18 15:55:32,2025-09-18 15:55:56
05332,在检查燃气涡轮发动机的滑油液位时，只要滑油液位在最低刻度线以上，就无需添加滑油。（）,单选题,飞行原理,中等,2,是,正确,错误,,,,,错误,,超级管理员,2025-09-18 15:55:32,2025-09-18 15:55:56
05333,清洁无人机云台镜头时，应使用（）工具。,单选题,飞行原理,中等,2,是,干的纸巾,酒精棉球,专用的镜头清洁布和镜头清洁剂,湿布,,,专用的镜头清洁布和镜头清洁剂,,超级管理员,2025-09-18 15:55:32,2025-09-18 15:55:56
05334,（）环境不适合对无人机云台进行维保作业。,单选题,飞行原理,中等,2,是,干净、干燥、通风的室内,户外无风且干燥的平地,潮湿、灰尘多的仓库,温度适宜的工作室,,,户外无风且干燥的平地,,超级管理员,2025-09-18 15:55:32,2025-09-18 15:55:56
05335,无人机云台的减震球如果出现老化、变形，会导致（）。,单选题,飞行原理,中等,2,是,云台的拍摄画质变差,云台的控制信号中断,云台的电池耗电量增加,云台在飞行中产生剧烈震动,,,云台在飞行中产生剧烈震动,,超级管理员,2025-09-18 15:55:32,2025-09-18 15:55:56
05336,当无人机云台出现漂移现象时，做法正确的是（）。,单选题,飞行原理,中等,2,是,检查云台的安装是否牢固,调整云台的 PID 参数,继续飞行，等漂移严重再处理,立即更换云台,,,检查云台的安装是否牢固,,超级管理员,2025-09-18 15:55:32,2025-09-18 15:55:56
05337,定期清理云台的散热孔可以有效防止云台过热。（）,单选题,飞行原理,中等,2,是,正确,错误,,,,,正确,,超级管理员,2025-09-18 15:55:32,2025-09-18 15:55:56
05338,当云台拍摄的图像模糊时，一定是镜头脏了。（）,单选题,飞行原理,中等,2,是,正确,错误,,,,,错误,,超级管理员,2025-09-18 15:55:32,2025-09-18 15:55:56
05339,检查无人机脚架是否有裂缝，最佳的检查方式是（）。,单选题,飞行原理,中等,2,是,用手触摸大致感受,仅通过肉眼远距离观察,在强光下仔细查看并配合用手触摸,摇晃脚架听声音判断,,,在强光下仔细查看并配合用手触摸,,超级管理员,2025-09-18 15:55:32,2025-09-18 15:55:56
05340,存放无人机时，脚架的最佳放置状态是（）。,单选题,飞行原理,中等,2,是,随意放置，只要不压到就行,将脚架拆卸下来单独存放,保持折叠状态并固定好,展开脚架并确保其稳定支撑,,,展开脚架并确保其稳定支撑,,超级管理员,2025-09-18 15:55:32,2025-09-18 15:55:56
05341,清洁无人机脚架底部的橡胶垫时，应使用（）。,单选题,飞行原理,中等,2,是,湿布擦拭,酒精,开水浸泡清洗,刷子用力刷洗,,,湿布擦拭,,超级管理员,2025-09-18 15:55:32,2025-09-18 15:55:56
05342,对于可伸缩式无人机脚架，在收纳时应该()。,单选题,飞行原理,中等,2,是,随意伸缩，无需完全缩回,确保完全缩回并锁定,半缩回状态收纳,伸出一定长度收纳，方便下次使用,,,确保完全缩回并锁定,,超级管理员,2025-09-18 15:55:32,2025-09-18 15:55:56
05343,清洁塑料材质的无人机脚架时，使用强碱性清洁剂不会对其造成损害。(),单选题,飞行原理,中等,2,是,正确,错误,,,,,错误,,超级管理员,2025-09-18 15:55:32,2025-09-18 15:55:56
05344,当无人机脚架表面出现轻微划痕，涂抹指甲油可以真正修复脚架。(),单选题,飞行原理,中等,2,是,正确,错误,,,,,错误,,超级管理员,2025-09-18 15:55:32,2025-09-18 15:55:56
05345,航拍系统光学相机的镜头应定期进行清洗，（）是最安全、最有效的。,单选题,飞行原理,困难,2,是,用湿布擦拭,用压缩空气吹扫,用专门的清洁液和清洁工具,接用手触摸镜头,,,用专门的清洁液和清洁工具,,超级管理员,2025-09-18 15:55:32,2025-09-18 15:55:56
05346,在维护航拍系统光学相机时，应该注意避免的环境因素是（）。,单选题,飞行原理,中等,2,是,温、高湿度,烈光照、强磁场,温、低湿度,燥、无尘,,,烈光照、强磁场,,超级管理员,2025-09-18 15:55:32,2025-09-18 15:55:56
05347,无人机航拍系统光学相机的存储环境应满足（）。,单选题,飞行原理,中等,2,是,保持在干燥、无尘的环境中,可以存放在高温环境下,可以存放在直射日光下,可以存放在密封的塑料袋中,,,保持在干燥、无尘的环境中,,超级管理员,2025-09-18 15:55:32,2025-09-18 15:55:56
05348,在对无人机航拍系统的光学相机进行维护时，（）是不正确的。,单选题,飞行原理,中等,2,是,使用专业镜头纸轻轻擦拭镜头,使用含有酒精的溶液清洁镜头,避免使用尖锐物品刮擦镜头,定期检查相机镜头的防紫外线涂层,,,使用含有酒精的溶液清洁镜头,,超级管理员,2025-09-18 15:55:32,2025-09-18 15:55:56
05349,光学相机镜头应定期清洁。（）,单选题,飞行原理,中等,2,是,正确,错误,,,,,正确,,超级管理员,2025-09-18 15:55:32,2025-09-18 15:55:56
05350,相机内部无需定期除尘。（）,单选题,飞行原理,中等,2,是,正确,错误,,,,,错误,,超级管理员,2025-09-18 15:55:32,2025-09-18 15:55:56
05351,检查 FPV 天线连接时，应重点关注（）。,单选题,飞行原理,中等,2,是,天线颜色,连接是否牢固，有无松动,天线长度,天线材质,,,连接是否牢固，有无松动,,超级管理员,2025-09-18 15:55:32,2025-09-18 15:55:57
05352,在进行FPV系统日常维护时，以下（）是最重要的清洁工作。,单选题,飞行原理,中等,2,是,清洁飞行器外壳以保持美观,清洁FPV摄像头镜头以确保图像清晰度,清洁遥控器按键以提高操作手感,清洁电池接触点以保证电力传输,,,清洁FPV摄像头镜头以确保图像清晰度,,超级管理员,2025-09-18 15:55:32,2025-09-18 15:55:57
05353,为了确保FPV图传信号稳定，应该采取下列（）措施。,单选题,飞行原理,中等,2,是,使用最大功率发射图传信号,确保天线方向正确并远离干扰源,在飞行前将FPV设备设置为最低分辨率,增加无人机飞行高度以获得更广的视野,,,确保天线方向正确并远离干扰源,,超级管理员,2025-09-18 15:55:32,2025-09-18 15:55:57
05354,FPV 系统的摄像头视角出现偏差，正确的调整方式是（）。,单选题,飞行原理,中等,2,是,通过软件设置调整,用力掰动摄像头,更换摄像头,拍打摄像头,,,通过软件设置调整,,超级管理员,2025-09-18 15:55:32,2025-09-18 15:55:57
05355,无人机FPV系统的信号传输模块在飞行过程中如出现干扰，可以立即关闭无人机。（）,单选题,飞行原理,中等,2,是,正确,错误,,,,,错误,,超级管理员,2025-09-18 15:55:32,2025-09-18 15:55:57
05356,无人机FPV系统的电池在存放时应保持满电状态。（）,单选题,飞行原理,中等,2,是,正确,错误,,,,,错误,,超级管理员,2025-09-18 15:55:32,2025-09-18 15:55:57
05357,为防止无人机植保喷洒系统的药液泵堵塞，建议使用（）过滤措施。,单选题,飞行原理,中等,2,是,在药液箱入口安装粗过滤网,在药液出口处加装细滤网,仅在药液箱内加入清洁剂,不需特别过滤，直接喷洒即可,,,在药液箱入口安装粗过滤网,,超级管理员,2025-09-18 15:55:32,2025-09-18 15:55:57
05358,无人机植保喷洒系统在维护过程中，对药液残留（）。,单选题,飞行原理,中等,2,是,留在药液箱中，下次继续使用,排放到环境中，避免污染,按照当地环保规定进行无害化处理,随意倒入下水道,,,按照当地环保规定进行无害化处理,,超级管理员,2025-09-18 15:55:32,2025-09-18 15:55:57
05359,无人机植保喷洒系统在日常维护中应注意（）。,单选题,飞行原理,中等,2,是,仅在作业前检查药箱是否漏水,作业后不需要清洗药箱,每次使用完毕后用清水清洗药箱、桨、电机、机架,不需要特别注意保护电机、飞控、电调、插头等配件,,,每次使用完毕后用清水清洗药箱、桨、电机、机架,,超级管理员,2025-09-18 15:55:32,2025-09-18 15:55:57
05360,无人机植保喷洒系统在使用后需要进行（）检查。,单选题,飞行原理,中等,2,是,不需要检查飞机上的桨是否有裂纹或断折现象,不需要检查电池表面有无孔洞或被尖锐物体刺穿,检查水泵、喷头是否堵塞，线路是否氧化,不需要检查飞控上的线有无松动或损坏,,,检查水泵、喷头是否堵塞，线路是否氧化,,超级管理员,2025-09-18 15:55:32,2025-09-18 15:55:57
05361,在维护喷雾泵时，需要定期添加润滑油。（）,单选题,飞行原理,中等,2,是,正确,错误,,,,,正确,,超级管理员,2025-09-18 15:55:32,2025-09-18 15:55:57
05362,喷洒系统无需检查泄漏情况。（）,单选题,飞行原理,中等,2,是,正确,错误,,,,,错误,,超级管理员,2025-09-18 15:55:32,2025-09-18 15:55:57
05363,无人机整机日常维保中，（）不属于基本检查内容。,单选题,飞行原理,中等,2,是,电池电量,传感器状态,航飞软件,机体结构,,,机体结构,,超级管理员,2025-09-18 15:55:32,2025-09-18 15:55:57
05364,（）的步骤不是无人机整机日常维保的重要环节。,单选题,飞行原理,中等,2,是,清洁机身及螺旋桨,检查电机和电池,更新飞行日志,更换无人机外壳,,,更换无人机外壳,,超级管理员,2025-09-18 15:55:32,2025-09-18 15:55:57
05365,无人机整机的GPS定位系统在日常维保中应该（）进行维护。,单选题,飞行原理,中等,2,是,定期清洁接收器上的灰尘,GPS模块不需要维护,GPS模块可以在强磁场附近放置,GPS模块可以暴露在雨水中,,,定期清洁接收器上的灰尘,,超级管理员,2025-09-18 15:55:32,2025-09-18 15:55:57
05366,无人机整机的机身清洁应该使用（）。,单选题,飞行原理,中等,2,是,使用水直接清洗,使用高压水枪清洗,使用专用清洁剂和软布轻拭,使用刷子和硬毛刷清理,,,使用专用清洁剂和软布轻拭,,超级管理员,2025-09-18 15:55:32,2025-09-18 15:55:57
05367,整机维保只需关注外观，无需检查内部部件。（）,单选题,飞行原理,中等,2,是,正确,错误,,,,,错误,,超级管理员,2025-09-18 15:55:32,2025-09-18 15:55:57
05368,整机维保应不包括所有系统的检查。（）,单选题,飞行原理,中等,2,是,正确,错误,,,,,错误,,超级管理员,2025-09-18 15:55:32,2025-09-18 15:55:57
05369,（）不属于无人机电机日常维保的内容。,单选题,飞行原理,中等,2,是,清洁电机外部灰尘,检查电机是否过热,更换电池,调整电机转速,,,更换电池,,超级管理员,2025-09-18 15:55:32,2025-09-18 15:55:57
05370,在进行无人机电机日常维保时，处理磨损的电机线圈的方法是（）。,单选题,飞行原理,中等,2,是,更换新的电机线圈,使用砂纸打磨,用胶水粘合,不需要处理，不影响使用,,,更换新的电机线圈,,超级管理员,2025-09-18 15:55:32,2025-09-18 15:55:57
05371,无人机电机在每次飞行前后都需要进行（）检查。,单选题,飞行原理,中等,2,是,仅检查电机外观,仅检查电机连接线,仅检查电机固定螺丝,检查电机外观、连接线和固定螺丝,,,检查电机外观、连接线和固定螺丝,,超级管理员,2025-09-18 15:55:32,2025-09-18 15:55:57
05372,无人机电机的轴承在日常维保（）。,单选题,飞行原理,中等,2,是,定期添加润滑油,不需要添加润滑油,使用机油代替专用润滑油,仅在轴承损坏时更换,,,定期添加润滑油,,超级管理员,2025-09-18 15:55:32,2025-09-18 15:55:57
05373,电机应定期清洁并检查碳刷和轴承。（）,单选题,飞行原理,中等,2,是,正确,错误,,,,,正确,,超级管理员,2025-09-18 15:55:32,2025-09-18 15:55:57
05374,电机维护时可忽略润滑。（）,单选题,飞行原理,中等,2,是,正确,错误,,,,,正确,,超级管理员,2025-09-18 15:55:32,2025-09-18 15:55:57
05375,无人机电子调速器的日常维保中，以下操作不符合维护要求的是（）。,单选题,飞行原理,中等,2,是,定期检查连接线和端子是否有松动或腐蚀,使用高压水枪清洗ESC以去除灰尘和污垢,确认固件版本并根据需要更新至最新版本,检查电调散热情况，确保没有过热现象,,,使用高压水枪清洗ESC以去除灰尘和污垢,,超级管理员,2025-09-18 15:55:32,2025-09-18 15:55:57
05376,无人机电子调速器在日常维保中，应（）检查其工作状态。,单选题,飞行原理,中等,2,是,每次飞行前,每周一次，无论是否使用,只有在出现问题时,每10次飞行后,,,每次飞行前,,超级管理员,2025-09-18 15:55:32,2025-09-18 15:55:57
05377,无人机电子调速器在维护过程中，应（）处理电调上的灰尘和污垢。,单选题,飞行原理,中等,2,是,使用高压水枪清洗以确保彻底清洁,定期使用干燥、柔软的布料轻轻擦拭,只有在电调出现故障时才进行清洁,每次飞行后都拆解ESC进行深度清洁,,,定期使用干燥、柔软的布料轻轻擦拭,,超级管理员,2025-09-18 15:55:32,2025-09-18 15:55:57
05378,当检查电子调速器的散热情况时，以下（）是最需要注意的。,单选题,飞行原理,中等,2,是,确认散热片的颜色是否均匀一致,检查散热片是否有灰尘积累并清理,测量ESC外壳的温度是否低于室温,增加额外风扇来强制冷却ESC,,,检查散热片是否有灰尘积累并清理,,超级管理员,2025-09-18 15:55:32,2025-09-18 15:55:57
05379,无人机电子调速器的日常维保主要是为了保证电调的正常运行和延长其使用寿命。（）,单选题,飞行原理,中等,2,是,正确,错误,,,,,正确,,超级管理员,2025-09-18 15:55:32,2025-09-18 15:55:57
05380,电子调速器应该不用远离潮湿环境。（）,单选题,飞行原理,中等,2,是,正确,错误,,,,,错误,,超级管理员,2025-09-18 15:55:32,2025-09-18 15:55:57
05381,无人机的飞控系统在每次飞行前应检查（）。,单选题,飞行原理,中等,2,是,仅检查电池电量,仅检查固件版本,仅检查连接线,检查电池电量、固件版本、连接线和其他相关设置,,,检查电池电量、固件版本、连接线和其他相关设置,,超级管理员,2025-09-18 15:55:32,2025-09-18 15:55:57
05382,无人机的遥控器在日常维保中应该（）。,单选题,飞行原理,中等,2,是,定期更换电池,仅在遥控器失灵时更换电池,遥控器无需保养,遥控器可以暴露在雨水中,,,定期更换电池,,超级管理员,2025-09-18 15:55:32,2025-09-18 15:55:57
05383,人机飞行控制系统中的IMU（惯性测量单元）在日常维保中（）。,单选题,飞行原理,中等,2,是,定期校准,无需校准,只在校准失败时才校准,IMU无法自行校准，只能更换新的,,,定期校准,,超级管理员,2025-09-18 15:55:32,2025-09-18 15:55:57
05384,在日常维保中，清洁无人机飞行控制系统的传感器的方法是（）。,单选题,飞行原理,中等,2,是,使用湿布擦拭,使用干布擦拭,使用酒精棉球擦拭,不需要清洁传感器,,,使用酒精棉球擦拭,,超级管理员,2025-09-18 15:55:32,2025-09-18 15:55:57
05385,飞控系统应定期更新软件和固件。（）,单选题,飞行原理,中等,2,是,正确,错误,,,,,正确,,超级管理员,2025-09-18 15:55:32,2025-09-18 15:55:57
05386,飞控硬件需定期检查。（）,单选题,飞行原理,中等,2,是,正确,错误,,,,,正确,,超级管理员,2025-09-18 15:55:32,2025-09-18 15:55:57
05387,在正常情况下，无人机遥控设备的电池每更换一次的间隔是（）。,单选题,飞行原理,中等,2,是,每个月,每半年,每年,随机更换,,,每半年,,超级管理员,2025-09-18 15:55:32,2025-09-18 15:55:57
